,id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,Localité,Commune principale,Province,Region
5151,8960086,4800,1,2,153000.0,0,4.0,138.0,3,False,False,False,0.0,True,60.0,176.0,3.0,False,2,Petit-Rechain,VERVIERS,Liège,b'Wallonie'
5152,8994413,4040,1,2,155000.0,0,2.0,95.0,4,False,False,True,0.0,True,178.0,257.0,2.0,False,0,HERSTAL,HERSTAL,Liège,b'Wallonie'
5153,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Gleixhe,FLÉMALLE,Liège,b'Wallonie'
5154,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Chokier,FLÉMALLE,Liège,b'Wallonie'
5155,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Mons-Lez-Liège,FLÉMALLE,Liège,b'Wallonie'
5156,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,FLÉMALLE,FLÉMALLE,Liège,b'Wallonie'
5157,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Ivoz-Ramet,FLÉMALLE,Liège,b'Wallonie'
5158,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Awirs,FLÉMALLE,Liège,b'Wallonie'
5159,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Flémalle-Grande,FLÉMALLE,Liège,b'Wallonie'
5160,8922242,4400,1,2,155000.0,0,3.0,210.0,4,False,False,True,0.0,False,0.0,255.0,4.0,False,2,Flémalle-Haute,FLÉMALLE,Liège,b'Wallonie'
5161,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Gleixhe,FLÉMALLE,Liège,b'Wallonie'
5162,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Chokier,FLÉMALLE,Liège,b'Wallonie'
5163,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Mons-Lez-Liège,FLÉMALLE,Liège,b'Wallonie'
5164,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,FLÉMALLE,FLÉMALLE,Liège,b'Wallonie'
5165,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Ivoz-Ramet,FLÉMALLE,Liège,b'Wallonie'
5166,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Awirs,FLÉMALLE,Liège,b'Wallonie'
5167,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Flémalle-Grande,FLÉMALLE,Liège,b'Wallonie'
5168,8911094,4400,1,2,155000.0,0,3.0,150.0,4,False,False,True,0.0,False,0.0,115.0,2.0,False,2,Flémalle-Haute,FLÉMALLE,Liège,b'Wallonie'
5169,8860481,5500,1,2,155000.0,0,3.0,120.0,4,False,False,False,0.0,True,3700.0,3700.0,3.0,False,2,Falmagne,DINANT,Namur,b'Wallonie'
5170,8860481,5500,1,2,155000.0,0,3.0,120.0,4,False,False,False,0.0,True,3700.0,3700.0,3.0,False,2,Anseremme,DINANT,Namur,b'Wallonie'
5171,8860481,5500,1,2,155000.0,0,3.0,120.0,4,False,False,False,0.0,True,3700.0,3700.0,3.0,False,2,Furfooz,DINANT,Namur,b'Wallonie'
